Entity,Code,Year,Share of firms with a female top manager
Kyrgyzstan,KGZ,2019,32.934967
Kyrgyzstan,KGZ,2023,21.680826
Laos,LAO,2012,32.197853
Laos,LAO,2016,45.251087
Laos,LAO,2018,43.12331
Laos,LAO,2024,50.689747
Latin America and Caribbean (WB),,2024,21.770742
Latvia,LVA,2009,31.28352
Latvia,LVA,2013,33.9435
Latvia,LVA,2019,32.580673
Latvia,LVA,2024,27.28225
Lebanon,LBN,2009,29.1
Lebanon,LBN,2013,4.440099
Lebanon,LBN,2019,5.9097743
Lesotho,LSO,2009,21.596703
Lesotho,LSO,2016,36.230186
Lesotho,LSO,2023,30.037374
Liberia,LBR,2009,29.930504
Liberia,LBR,2017,20.447266
Lithuania,LTU,2009,15.051082
Lithuania,LTU,2013,21.984722
Lithuania,LTU,2019,30.700285
Low-income countries,,2024,14.36141
Lower-middle-income countries,,2024,18.75398
Luxembourg,LUX,2020,7.3613887
Madagascar,MDG,2013,28.202438
Madagascar,MDG,2022,37.335617
Malawi,MWI,2009,15.62025
Malawi,MWI,2014,14.230035
Malaysia,MYS,2007,8.7
Malaysia,MYS,2015,26.307846
Malaysia,MYS,2019,33.159603
Malaysia,MYS,2024,25.541454
Mali,MLI,2010,21.0102
Mali,MLI,2016,11.558075
Mali,MLI,2024,7.851715
Malta,MLT,2019,11.324085
Malta,MLT,2024,10.591147
Mauritania,MRT,2014,4.4588094
Mauritius,MUS,2023,18.07636
Mexico,MEX,2010,14.621392
Mexico,MEX,2023,15.654472
Moldova,MDA,2009,20.59986
Moldova,MDA,2013,22.429789
Moldova,MDA,2019,18.619421
Moldova,MDA,2024,21.575155
Mongolia,MNG,2009,36.356438
Mongolia,MNG,2013,31.00574
Mongolia,MNG,2019,38.863953
Montenegro,MNE,2009,24.490028
Montenegro,MNE,2013,19.2057
Montenegro,MNE,2019,15.0441885
Montenegro,MNE,2023,13.5048895
Morocco,MAR,2013,4.3324018
Morocco,MAR,2019,5.3881955
Morocco,MAR,2023,5.4380116
Mozambique,MOZ,2018,15.582702
Myanmar,MMR,2014,29.492085
Myanmar,MMR,2016,41.128506
Namibia,NAM,2014,27.373833
Namibia,NAM,2024,27.534727
Nepal,NPL,2009,13.366227
Nepal,NPL,2013,17.164003
Nepal,NPL,2023,10.314403
Netherlands,NLD,2020,13.654414
New Zealand,NZL,2023,20.306002
Nicaragua,NIC,2010,32.325756
Nicaragua,NIC,2016,26.993464
Niger,NER,2009,11.283223
Niger,NER,2017,10.624127
Nigeria,NGA,2014,13.857113
North America (WB),,2024,22.062178
North Macedonia,MKD,2009,19.127825
North Macedonia,MKD,2013,16.847378
North Macedonia,MKD,2019,21.342356
North Macedonia,MKD,2023,16.425875
Pakistan,PAK,2013,5.9529586
Pakistan,PAK,2022,3.4007707
Palestine,PSE,2013,1.3330799
Palestine,PSE,2019,0.933091
Palestine,PSE,2023,2.7442892
Panama,PAN,2010,23.518517
Papua New Guinea,PNG,2015,13.773335
Papua New Guinea,PNG,2024,21.954302
Paraguay,PRY,2010,22.772932
Paraguay,PRY,2017,19.587616
Paraguay,PRY,2023,19.061852
Peru,PER,2010,14.128051
Peru,PER,2017,19.861624
Peru,PER,2023,22.389128
Philippines,PHL,2009,32.664104
Philippines,PHL,2015,29.862955
Philippines,PHL,2023,43.448963
Poland,POL,2009,31.070015
Poland,POL,2013,20.431517
Poland,POL,2019,27.778906
Portugal,PRT,2019,13.984037
Portugal,PRT,2023,19.082563
Romania,ROU,2009,24.665455
Romania,ROU,2013,18.295994
Romania,ROU,2019,17.16891
Romania,ROU,2023,19.035408
Russia,RUS,2009,14.327562
Russia,RUS,2012,20.08975
Russia,RUS,2019,24.252316
Rwanda,RWA,2011,19.669506
Rwanda,RWA,2019,21.754148
Rwanda,RWA,2023,28.100065
Saint Kitts and Nevis,KNA,2010,21.061373
Saint Lucia,LCA,2010,23.734228
Saint Vincent and the Grenadines,VCT,2010,38.6343
Samoa,WSM,2023,47.977932
Saudi Arabia,SAU,2022,2.9515076
Senegal,SEN,2014,14.062268
Senegal,SEN,2024,15.778827
Serbia,SRB,2009,15.869027
Serbia,SRB,2013,15.296389
Serbia,SRB,2019,18.21173
Serbia,SRB,2024,20.887514
Seychelles,SYC,2023,26.312664
Sierra Leone,SLE,2009,7.085579
Sierra Leone,SLE,2017,15.947765
Sierra Leone,SLE,2023,12.963316
Singapore,SGP,2023,21.801897
Slovakia,SVK,2009,19.805433
Slovakia,SVK,2013,13.954376
Slovakia,SVK,2019,22.92949
Slovakia,SVK,2023,20.407904
Slovenia,SVN,2009,15.857334
Slovenia,SVN,2013,21.908373
Slovenia,SVN,2019,18.833868
Slovenia,SVN,2024,23.384142
Solomon Islands,SLB,2015,22.633028
South Africa,ZAF,2020,38.513386
South Asia (WB),,2024,10.542018
South Korea,KOR,2024,44.39394
South Sudan,SSD,2014,9.452693
South Sudan,SSD,2024,10.549448
Spain,ESP,2021,17.61724
Spain,ESP,2024,13.44526
Sri Lanka,LKA,2011,8.786118
Sub-Saharan Africa (WB),,2024,17.119495
Sudan,SDN,2014,3.416767
Suriname,SUR,2010,14.999993
Suriname,SUR,2018,11.892867
Sweden,SWE,2014,12.4852705
Sweden,SWE,2020,13.962167
Sweden,SWE,2024,12.887236
Syria,SYR,2009,22.8
Tajikistan,TJK,2008,11.818889
Tajikistan,TJK,2013,9.081256
Tajikistan,TJK,2019,6.643394
Tajikistan,TJK,2024,6.6422005
Tanzania,TZA,2013,13.951251
Tanzania,TZA,2023,17.505033
Thailand,THA,2016,64.844894
Togo,TGO,2009,15.112759
Togo,TGO,2016,11.416852
Togo,TGO,2023,13.183414
Tonga,TON,2024,30.181782
Trinidad and Tobago,TTO,2010,20.807997
Tunisia,TUN,2013,8.498748
Tunisia,TUN,2020,10.374794
Tunisia,TUN,2024,8.991737
Turkey,TUR,2008,12.407442
Turkey,TUR,2013,5.5248446
Turkey,TUR,2019,3.8896062
Turkey,TUR,2024,9.4293
Turkmenistan,TKM,2024,6.0843287
Uganda,UGA,2013,15.351084
Ukraine,UKR,2008,27.912994
Ukraine,UKR,2013,20.894083
Ukraine,UKR,2019,17.679892
United Kingdom,GBR,2024,12.302453
United States,USA,2024,22.230568
Upper-middle-income countries,,2024,21.816254
Uruguay,URY,2010,19.371616
Uruguay,URY,2017,10.614462
Uruguay,URY,2024,19.156147
Uzbekistan,UZB,2008,11.38224
Uzbekistan,UZB,2013,14.922004
Uzbekistan,UZB,2019,12.398719
Uzbekistan,UZB,2024,12.337518
Vanuatu,VUT,2023,39.69094
Venezuela,VEN,2010,31.115868
Vietnam,VNM,2009,26.373905
Vietnam,VNM,2015,22.411352
Vietnam,VNM,2023,19.398945
World,OWID_WRL,2024,19.037155
Yemen,YEM,2010,0.14989014
Yemen,YEM,2013,1.6467983
Zambia,ZMB,2013,22.472591
Zambia,ZMB,2019,12.929103
Zimbabwe,ZWE,2011,17.419437
Zimbabwe,ZWE,2016,16.33406
